                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^
  File "C:\Users\dell\OneDrive\Desktop\sports-booking-system\backend\sports_env\Lib\site-packages\django\middleware\common.py", line 87, in get_full_path_with_slash
    raise RuntimeError(
    ...<9 lines>...
    )
RuntimeError: You called this URL via POST, but the URL doesn't end in a slash and you have APPEND_SLASH set. Django can't redirect to the slash URL while maintaining POST data. Change your form to point to localhost:8000/api/auth/send-otp/?phone_number=+919513363090 (note the trailing slash), or set APPEND_SLASH=False in your Django settings.
ERROR 2025-09-19 13:56:59,765 basehttp 10260 16908 "POST /api/auth/send-otp?phone_number=+919513363090 HTTP/1.1" 500 77867
INFO 2025-09-26 18:21:54,438 autoreload 10784 272 Watching for file changes with StatReloader
INFO 2025-09-26 18:22:04,004 basehttp 10784 13460 "GET /api/ HTTP/1.1" 200 177
INFO 2025-09-26 18:23:12,933 basehttp 10784 10776 "GET /health/ HTTP/1.1" 200 70
INFO 2025-09-26 18:24:13,407 basehttp 10784 10024 "GET /api/auth/send-otp HTTP/1.1" 301 0
WARNING 2025-09-26 18:24:15,532 log 10784 5224 Method Not Allowed: /api/auth/send-otp/
WARNING 2025-09-26 18:24:15,535 basehttp 10784 5224 "GET /api/auth/send-otp/ HTTP/1.1" 405 40
WARNING 2025-09-26 18:24:27,161 log 10784 5224 Bad Request: /api/auth/send-otp/
WARNING 2025-09-26 18:24:27,164 basehttp 10784 5224 "POST /api/auth/send-otp/ HTTP/1.1" 400 44
WARNING 2025-09-26 18:30:00,714 log 10784 3620 Bad Request: /api/auth/send-otp/
WARNING 2025-09-26 18:30:00,718 basehttp 10784 3620 "POST /api/auth/send-otp/ HTTP/1.1" 400 44
WARNING 2025-09-26 18:30:09,163 log 10784 3620 Bad Request: /api/auth/send-otp/
WARNING 2025-09-26 18:30:09,165 basehttp 10784 3620 "POST /api/auth/send-otp/ HTTP/1.1" 400 44
INFO 2025-09-26 18:41:15,001 autoreload 8380 15448 Watching for file changes with StatReloader
INFO 2025-09-26 18:41:38,262 autoreload 8380 15448 C:\Users\dell\OneDrive\Desktop\sports-booking-system\backend\sports_booking\accounts\views.py changed, reloading.
INFO 2025-09-26 18:41:40,536 autoreload 16188 3904 Watching for file changes with StatReloader
INFO 2025-09-26 18:41:43,459 autoreload 16188 3904 C:\Users\dell\OneDrive\Desktop\sports-booking-system\backend\sports_booking\accounts\views.py changed, reloading.
INFO 2025-09-26 18:41:46,051 autoreload 5380 9764 Watching for file changes with StatReloader
